Your, Name, ,,,,,,
Wrap:,TRUE,,,,,,,
K(states):,5,,,,,,,
Radius:,1,,,,,,,
Quiescence:,TRUE,,,,,,,
random seed:,-3.48325E+18,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment #:,0,,,,,,,
Rule:,2.41141E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.923076923,1.180997156,1.614330835,0,
1,4,,0.872,0.846153846,1.494408295,1.738149333,0,
2,2,,0.824,0.769230769,1.581946819,1.826245258,0,
3,7,,0.68,0.692307692,1.703118994,1.854285872,0,
4,9,,0.6,0.615384615,1.692325908,1.826245258,0,
5,1,,0.576,0.538461538,1.559269211,1.52623491,0,
6,12,,0.568,0.461538462,1.554535239,1.457265914,0,
7,6,,0.416,0.384615385,1.349988342,1.334679141,0,
8,5,,0.272,0.307692308,1.115640586,1.198183948,0,
9,3,,0.192,0.230769231,0.861402006,0.991264261,0,
10,11,,0.168,0.153846154,0.798113368,0.773228349,0,
11,8,,0.048,0.076923077,0.277839574,0.391243564,0,
12,10,,0,0,0,0,0,
,,,,,,,,
,,,,,,,,
Experiment #:,1,,,,,,,
Rule:,1.13331E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.923076923,1.443253046,1.826245258,0,
1,5,,0.848,0.846153846,1.861986155,1.950063756,0,
2,3,,0.768,0.769230769,1.942622743,1.987773371,0,
3,9,,0.688,0.692307692,1.95554387,1.950063756,0,
4,12,,0.68,0.615384615,1.946788154,1.884313528,0,
5,8,,0.56,0.538461538,1.66843697,1.738149333,0,
6,4,,0.44,0.461538462,1.511087602,1.573402452,0,
7,10,,0.392,0.384615385,1.451688554,1.488525295,0,
8,11,,0.368,0.307692308,1.304478149,1.140115679,0,
9,2,,0.32,0.230769231,1.222069283,0.991264261,0,
10,7,,0.176,0.153846154,0.671247885,0.619382195,0,
11,6,,0.024,0.076923077,0.163345543,0.391243564,0,
12,1,,0,0,0,0,0,
,,,,,,,,
,,,,,,,,
Experiment #:,2,,,,,,,
Rule:,1.11124E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.923076923,2.046375251,2.16197818,0,
1,8,,0.872,0.846153846,2.265626098,2.16197818,0,
2,3,,0.792,0.769230769,2.30341173,2.199687795,0,
3,2,,0.744,0.692307692,2.280946791,2.16197818,0,
4,6,,0.592,0.615384615,2.107894595,2.133937566,0,
5,7,,0.448,0.538461538,1.650807834,1.833927218,0,
6,4,,0.328,0.461538462,1.289506126,1.669180337,0,
7,9,,0.248,0.384615385,1.13247092,1.488525295,0,
8,1,,0.224,0.307692308,0.978028471,1.140115679,0,
9,5,,0.08,0.230769231,0.40217919,0.779349837,0,
10,11,,0.056,0.153846154,0.31135737,0.619382195,0,
11,10,,0.008,0.076923077,0.067221545,0.391243564,0,
12,12,,0,0,0,0,0,
,,,,,,,,
,,,,,,,,
Experiment #:,3,,,,,,,
Rule:,3.31332E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.923076923,1.51608169,1.914341184,0,
1,9,,0.912,0.846153846,1.776043178,2.038159682,0,
2,1,,0.888,0.769230769,1.827735855,2.10390991,0,
3,7,,0.744,0.692307692,1.918188075,2.10390991,0,
4,3,,0.664,0.615384615,1.652123668,1.826245258,0,
5,2,,0.616,0.538461538,1.660802523,1.775858948,0,
6,10,,0.568,0.461538462,1.605499688,1.669180337,0,
7,5,,0.424,0.384615385,1.504706146,1.546593564,0,
8,11,,0.4,0.307692308,1.359330832,1.198183948,0,
9,12,,0.392,0.230769231,1.343705631,0.991264261,0,
10,4,,0.272,0.153846154,1.113597933,0.773228349,0,
11,8,,0.152,0.076923077,0.614822757,0.391243564,0,
12,6,,0,0,0,0,0,
,,,,,,,,
,,,,,,,,
Experiment #:,4,,,,,,,
Rule:,1.22224E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.923076923,1.375365744,1.775858948,0,
1,2,,0.944,0.846153846,1.569740234,1.922023143,0,
2,8,,0.824,0.769230769,1.771476871,1.922023143,0,
3,3,,0.744,0.692307692,1.845361041,1.950063756,0,
4,1,,0.72,0.615384615,1.797704168,1.884313528,0,
5,11,,0.696,0.538461538,1.804569173,1.833927218,0,
6,7,,0.552,0.461538462,1.694557346,1.669180337,0,
7,4,,0.432,0.384615385,1.592983561,1.546593564,0,
8,10,,0.384,0.307692308,1.382911291,1.352030102,0,
9,6,,0.232,0.230769231,0.831685582,0.991264261,0,
10,12,,0.224,0.153846154,0.767404417,0.619382195,0,
11,5,,0.08,0.076923077,0.40217919,0.391243564,0,
12,9,,0,0,0,0,0,
,,,,,,,,
,,,,,,,,
Experiment #:,5,,,,,,,
Rule:,2.11231E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.923076923,1.997777199,2.23739741,0,
1,2,,0.944,0.846153846,2.149712978,2.295465679,0,
2,11,,0.92,0.769230769,2.180345588,2.295465679,0,
3,6,,0.768,0.692307692,2.180345588,2.199687795,0,
4,3,,0.688,0.615384615,1.924105935,1.922023143,0,
5,5,,0.544,0.538461538,1.559038562,1.775858948,0,
6,9,,0.464,0.461538462,1.502327631,1.669180337,0,
7,4,,0.344,0.384615385,1.235275522,1.546593564,0,
8,10,,0.296,0.307692308,1.048585278,1.352030102,0,
9,1,,0.272,0.230769231,0.896389739,0.991264261,0,
10,7,,0.128,0.153846154,0.595100682,0.773228349,0,
11,8,,0.008,0.076923077,0.067221545,0.391243564,0,
12,12,,0,0,0,0,0,
,,,,,,,,
,,,,,,,,
Experiment #:,6,,,,,,,
Rule:,1.12444E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.923076923,1.918633774,2.10390991,0,
1,10,,0.944,0.846153846,2.068364288,2.199687795,0,
2,8,,0.824,0.769230769,2.132717971,2.199687795,0,
3,12,,0.816,0.692307692,2.131066049,2.199687795,0,
4,2,,0.768,0.615384615,2.097189109,2.133937566,0,
5,1,,0.744,0.538461538,2.063332183,1.987773371,0,
6,7,,0.6,0.461538462,1.686258908,1.669180337,0,
7,9,,0.52,0.384615385,1.374248145,1.334679141,0,
8,3,,0.44,0.307692308,1.123963772,1.140115679,0,
9,6,,0.288,0.230769231,0.985302934,0.991264261,0,
10,11,,0.264,0.153846154,0.832722637,0.619382195,0,
11,5,,0.12,0.076923077,0.529360865,0.391243564,0,
12,4,,0,0,0,0,0,
,,,,,,,,
,,,,,,,,
Experiment #:,7,,,,,,,
Rule:,4.32211E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.923076923,1.640055361,2.133937566,0,
