"Experiment #0"
distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.996319,0.997342,0,1.99468,1,-0.1,0,1,2
1,0.758682,0.997342,0.636246,1.35844,1,-0.1,0,1,2
2,0.56743,0.997342,1.53147,0.463213,1,-0.1,0,1,2
3,0.389422,0.997342,1.18706,0.807627,1,-0.1,0,1,2
4,0.24493,0.997342,1.57254,0.422143,1,-0.1,0,1,2
5,0.14257,0.997342,1.40683,0.58786,1,-0.1,0,1,2
6,0.0931543,0.997342,1.52714,0.467551,1,-0.1,0,1,2
7,0.0621764,0.997342,1.47358,0.521108,1,-0.1,0,1,2
8,0.0382855,0.997342,1.50447,0.490217,1,-0.1,0,1,2
9,0.0292839,0.997342,1.49101,0.503673,1,-0.1,0,1,2
10,0.0240284,0.997342,1.4988,0.495886,1,-0.1,0,1,2
11,0.0244839,0.997342,1.49388,0.500805,1,-0.1,0,1,2
12,0.0254697,0.997342,1.49573,0.498954,1,-0.1,0,1,2
13,0.0213216,0.997342,1.49906,0.495629,1,-0.1,0,1,2
14,0.0168227,0.997342,1.49038,0.504305,1,-0.1,0,1,2
"Experiment #1"
distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.187995,0.284018,0,0.568036,1,-0.1,-4,1,5
1,0.00978272,0.284018,0.465433,0.102603,1,-0.1,-4,1,5
2,0.00978272,0.284018,0.465433,0.102603,1,-0.1,-4,1,5
3,0.00978272,0.284018,0.465433,0.102603,1,-0.1,-4,1,5
4,0.00978272,0.284018,0.465433,0.102603,1,-0.1,-4,1,5
5,0.00866173,0.284018,0.477103,0.0909331,1,-0.1,-4,1,5
6,0.0050321,0.284018,0.476101,0.091935,1,-0.1,-4,1,5
7,0.00109524,0.284018,0.474159,0.0938773,1,-0.1,-4,1,5
8,0.00165772,0.284018,0.473134,0.0949022,1,-0.1,-4,1,5
9,0.00203951,0.284018,0.472867,0.0951694,1,-0.1,-4,1,5
10,0.00111358,0.284018,0.473606,0.0944304,1,-0.1,-4,1,5
11,0.00184849,0.284018,0.474583,0.0934532,1,-0.1,-4,1,5
12,0.00114321,0.284018,0.474556,0.0934806,1,-0.1,-4,1,5
13,0.000814435,0.284018,0.473746,0.0942905,1,-0.1,-4,1,5
14,0.000896826,0.284018,0.473868,0.0941678,1,-0.1,-4,1,5
"Experiment #2"
