distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.829156,0.872988,0,1.74598,1,-0.1,2,1,5
1,0.1936,0.872988,1.39044,0.355539,1,-0.1,2,1,5
2,0.0464,0.872988,1.3059,0.440076,1,-0.1,2,1,5
3,0.185659,0.872988,1.19873,0.547242,1,-0.1,2,1,5
4,0.185844,0.872988,1.19856,0.54742,1,-0.1,2,1,5
5,0.0633778,0.872988,1.35895,0.387027,1,-0.1,2,1,5
6,0.168044,0.872988,1.38689,0.359091,1,-0.1,2,1,5
7,0.0809016,0.872988,1.36513,0.380843,1,-0.1,2,1,5
8,0.0014,0.872988,1.3307,0.41528,1,-0.1,2,1,5
9,0.0913383,0.872988,1.27664,0.469334,1,-0.1,2,1,5
10,0.0797333,0.872988,1.28465,0.46133,1,-0.1,2,1,5
11,0.00592323,0.872988,1.33432,0.411653,1,-0.1,2,1,5
12,0.0258222,0.872988,1.34362,0.402361,1,-0.1,2,1,5
13,0.0406085,0.872988,1.34999,0.395983,1,-0.1,2,1,5
14,0.0340762,0.872988,1.34723,0.398745,1,-0.1,2,1,5
