"Unnormalised"
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.62,0.66,0.56,0.06,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.04,0.16,0.5,0.72,0.84,0.58,0.12,0.02,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.14,0.22,0.6,0.78,1,0.7,0.44,0.04,0.04,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0,0.06,0.14,0.28,1.06,1.28,0.98,0.64,0.36,0.08,0.06,0.02,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.02,0.08,0.02,0.1,0.16,0.54,0.64,1.2,1.14,1.02,0.68,0.24,0.1,0.02,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.02,0.02,0,0,0.02,0.02,0,0.02,0.02,0,0,0,0.02,0,0,0.06,0,0.08,0.12,0.44,0.52,0.8,1.34,1.4,0.98,0.62,0.3,0.16,0.02,0,0,0,0,0,0,0,0,
0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0,0.04,0.02,0.02,0.02,0.04,0.04,0.04,0.02,0.06,0.02,0.04,0.12,0.24,0.2,0.32,0.62,0.76,0.98,1.22,1.36,0.74,0.5,0.26,0.18,0.04,0.02,0,0,0,0,0,0,0,0,
0.16,0.2,0.04,0.06,0.02,0,0.04,0.04,0.04,0,0,0,0.02,0.02,0.06,0.02,0.04,0.04,0.08,0.02,0.02,0,0.04,0.06,0.02,0.04,0.12,0.16,0.14,0.12,0.4,0.6,0.7,1.08,1.22,1.02,1.08,0.56,0.5,0.16,0.06,0,0,0,0,0,0,0,0,0,0,
0.22,0.1,0.04,0,0,0,0.02,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.04,0.04,0.08,0.08,0.1,0.08,0.1,0.22,0.2,0.3,0.34,0.56,0.66,1.1,1.22,1.12,1.02,0.72,0.74,0.52,0.16,0.12,0.02,0.02,0,0,0,0,0,0,0,0,0,
0.46,0.34,0.08,0,0.04,0.02,0.06,0,0.04,0,0,0,0,0.02,0.02,0,0.04,0,0.08,0.04,0.14,0.18,0.14,0.28,0.08,0.36,0.4,0.54,0.8,1.02,1.22,1.14,1.22,0.78,0.68,0.38,0.28,0.1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,
0.76,0.2,0.02,0.06,0.1,0.02,0.04,0.02,0.02,0.1,0.16,0.08,0.1,0.24,0.06,0.2,0.06,0.26,0.22,0.14,0.28,0.34,0.34,0.32,0.3,0.44,0.5,0.76,1.02,0.84,1.16,0.96,0.82,0.52,0.32,0.12,0.08,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.5,0.9,0.04,0.04,0.04,0.06,0.06,0.16,0.08,0.08,0.08,0.12,0.04,0.16,0.12,0.12,0.16,0.16,0.3,0.32,0.32,0.24,0.42,0.42,0.66,0.58,0.64,0.9,0.84,1.04,0.74,0.68,0.46,0.28,0.14,0.06,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.46,1.4,0.18,0.08,0.1,0.08,0.2,0.14,0.2,0.1,0.08,0,0.04,0.22,0.12,0.18,0.1,0.24,0.14,0.3,0.26,0.42,0.52,0.62,0.94,0.8,0.9,1.04,0.88,0.5,0.46,0.1,0.1,0.08,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3.6,2.84,0.26,0.24,0.2,0.1,0.04,0.16,0.14,0.16,0.12,0.2,0.12,0.02,0.06,0.3,0.32,0.32,0.32,0.5,0.44,0.58,0.58,0.44,0.54,0.5,0.7,0.28,0.24,0.16,0.2,0.14,0.08,0.08,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5.3,3.62,0.38,0.14,0.06,0.04,0.12,0.2,0.14,0.16,0.32,0.14,0.12,0.14,0.16,0.2,0.12,0.16,0.16,0.36,0.34,0.3,0.8,0.46,0.42,0.5,0.28,0.26,0.22,0.2,0.04,0.02,0.08,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
