"p","Fraction of Unstable Imprints","Stable Imprints"
0,0,1
1,0,2
2,0,3
3,0,4
4,0,5
5,0,6
6,0.00285714,6.98
7,0.0025,7.98
8,0.0111111,8.9
9,0.036,9.64
10,0.0545455,10.4
11,0.105,10.74
12,0.16,10.92
13,0.228571,10.8
14,0.272,10.92
15,0.34375,10.5
16,0.407059,10.08
17,0.46,9.72
18,0.511579,9.28
19,0.573,8.54
20,0.621905,7.94
21,0.693636,6.74
22,0.753043,5.68
23,0.795,4.92
24,0.8408,3.98
25,0.873077,3.3
26,0.905926,2.54
27,0.931429,1.92
28,0.943448,1.64
29,0.962,1.14
30,0.964516,1.1
31,0.970625,0.94
32,0.978182,0.72
33,0.988235,0.4
34,0.991429,0.3
35,0.994444,0.2
36,0.995135,0.18
37,0.994737,0.2
38,0.996923,0.12
39,0.9995,0.02
40,0.997561,0.1
41,0.999524,0.02
42,1,0
43,0.999091,0.04
44,0.999111,0.04
45,0.99913,0.04
46,0.999574,0.02
47,0.999167,0.04
48,0.999592,0.02
49,0.9996,0.02
50,1,0
51,1,0
52,1,0
53,1,0
54,1,0
55,1,0
56,1,0
57,1,0
58,1,0
59,1,0
60,1,0
61,1,0
62,1,0
63,1,0
64,1,0
65,1,0
66,1,0
67,1,0
68,1,0
69,1,0
70,1,0
71,1,0
72,1,0
73,1,0
74,1,0
75,1,0
76,1,0
77,1,0
78,1,0
79,1,0
80,1,0
81,1,0
82,1,0
83,1,0
84,1,0
85,1,0
86,1,0
87,1,0
88,1,0
89,1,0
90,1,0
91,1,0
92,1,0
93,1,0
94,1,0
95,1,0
96,1,0
97,1,0
98,1,0
99,1,0
