"p","Fraction of Unstable Imprints","Stable Imprints"
0,0,1
1,0,2
2,0,3
3,0,4
4,0,5
5,0,6
6,0,7
7,0,8
8,0,9
9,0,10
10,0,11
11,0,12
12,0.00461538,12.94
13,0.00857143,13.88
14,0.0146667,14.78
15,0.02625,15.58
16,0.0411765,16.3
17,0.0544444,17.02
18,0.0684211,17.7
19,0.095,18.1
20,0.122857,18.42
21,0.150909,18.68
22,0.198261,18.44
23,0.2275,18.54
24,0.28,18
25,0.325385,17.54
26,0.36,17.28
27,0.415714,16.36
28,0.462069,15.6
29,0.514667,14.56
30,0.554194,13.82
31,0.611875,12.42
32,0.658182,11.28
33,0.69,10.54
34,0.736,9.24
35,0.762222,8.56
36,0.800541,7.38
37,0.815789,7
38,0.858974,5.5
39,0.878,4.88
40,0.89561,4.28
41,0.90619,3.94
42,0.924186,3.26
43,0.936364,2.8
44,0.945778,2.44
45,0.954348,2.1
46,0.968936,1.46
47,0.970833,1.4
48,0.976735,1.14
49,0.978,1.1
50,0.98549,0.74
51,0.986154,0.72
52,0.987925,0.64
53,0.991111,0.48
54,0.992,0.44
55,0.995714,0.24
56,0.994737,0.3
57,0.995862,0.24
58,0.996949,0.18
59,0.998667,0.08
60,0.999344,0.04
61,0.999355,0.04
62,0.999365,0.04
63,0.999687,0.02
64,0.999385,0.04
65,0.999697,0.02
66,0.999701,0.02
67,0.999706,0.02
68,0.99971,0.02
69,1,0
70,1,0
71,1,0
72,1,0
73,1,0
74,1,0
75,1,0
76,1,0
77,1,0
78,1,0
79,1,0
80,1,0
81,1,0
82,1,0
83,0.999762,0.02
84,0.999765,0.02
85,0.999767,0.02
86,1,0
87,1,0
88,1,0
89,1,0
90,1,0
91,1,0
92,1,0
93,1,0
94,1,0
95,1,0
96,1,0
97,1,0
98,1,0
99,1,0
