"p","Fraction of Unstable Imprints","Stable Imprints"
0,0,1
1,0,2
2,0,3
3,0,4
4,0,5
5,0,6
6,0,7
7,0,8
8,0,9
9,0.002,9.98
10,0.00181818,10.98
11,0.00166667,11.98
12,0.00153846,12.98
13,0.0114286,13.84
14,0.0133333,14.8
15,0.0175,15.72
16,0.0341176,16.42
17,0.0466667,17.16
18,0.0652632,17.76
19,0.087,18.26
20,0.120952,18.46
21,0.142727,18.86
22,0.18087,18.84
23,0.229167,18.5
24,0.2696,18.26
25,0.306923,18.02
26,0.36963,17.02
27,0.418571,16.28
28,0.463448,15.56
29,0.518667,14.44
30,0.554194,13.82
31,0.613125,12.38
32,0.658182,11.28
33,0.682353,10.8
34,0.720571,9.78
35,0.755,8.82
36,0.784324,7.98
37,0.809474,7.24
38,0.842564,6.14
39,0.8575,5.7
40,0.883415,4.78
41,0.897619,4.3
42,0.913488,3.72
43,0.927727,3.18
44,0.950667,2.22
45,0.961304,1.78
46,0.961277,1.82
47,0.965,1.68
48,0.972653,1.34
49,0.9792,1.04
