"p","Fraction of Unstable Imprints","Stable Imprints"
0,0,1
1,0,2
2,0,3
3,0,4
4,0,5
5,0,6
6,0,7
7,0,8
8,0,9
9,0,10
10,0,11
11,0.00333333,11.96
12,0.0107692,12.86
13,0.0142857,13.8
14,0.0146667,14.78
15,0.02375,15.62
16,0.0376471,16.36
17,0.06,16.92
18,0.08,17.48
19,0.106,17.88
20,0.117143,18.54
21,0.164545,18.38
22,0.19913,18.42
23,0.2425,18.18
24,0.2688,18.28
25,0.319231,17.7
26,0.359259,17.3
27,0.418571,16.28
28,0.469655,15.38
29,0.501333,14.96
30,0.541935,14.2
31,0.59625,12.92
32,0.639394,11.9
33,0.678824,10.92
34,0.728571,9.5
35,0.765556,8.44
36,0.792432,7.68
37,0.826316,6.6
38,0.849231,5.88
39,0.872,5.12
40,0.890732,4.48
41,0.91,3.78
42,0.925116,3.22
43,0.938636,2.7
44,0.949333,2.28
45,0.956957,1.98
46,0.964681,1.66
47,0.970833,1.4
48,0.977959,1.08
49,0.9812,0.94
50,0.981176,0.96
51,0.983846,0.84
52,0.990189,0.52
53,0.991852,0.44
54,0.993091,0.38
55,0.996071,0.22
56,0.996842,0.18
57,0.997586,0.14
58,0.996949,0.18
59,0.999667,0.02
60,0.999672,0.02
61,1,0
62,0.999683,0.02
63,1,0
64,1,0
65,0.999394,0.04
66,1,0
67,0.999706,0.02
68,1,0
69,1,0
70,1,0
71,1,0
72,1,0
73,1,0
74,1,0
75,1,0
76,1,0
77,1,0
78,1,0
79,1,0
80,1,0
81,1,0
82,1,0
83,1,0
84,1,0
85,1,0
86,1,0
87,1,0
88,1,0
89,1,0
90,1,0
91,1,0
92,1,0
93,1,0
94,1,0
95,1,0
96,1,0
97,1,0
98,1,0
99,1,0
