"Generation","Average Fitness","Best Fitness Individual","Average Correct Bits"
0,0.06999152461132346,0.7891074589235214,10.033333333333333
1,0.0000012198142300591042,0.00003590031692699672,10.2
2,0.0673324090363465,0.31412147412545277,7.2
3,0.0000031727814037533345,0.00003592414331553391,12.466666666666667
4,0.014409641540093355,0.02208582368166931,6.266666666666667
5,0.000021482682860788977,0.00003592891030070559,12.766666666666667
6,0.015736707985728075,0.02208582368166931,6.4
7,0.000020603225601199616,0.00003593081725417369,13.033333333333333
8,0.014698725895673202,0.022085206906522586,6.2
9,0.000025508385301076706,0.00003593081725417369,13.333333333333334
