Generation,Average Fitness,Best Fitness Individual,Average Correct Bits
0,0.089775982,0.99849642,14.99433333
1,0.453390948,0.999305106,16.39633333
2,0.574915257,0.999900344,16.79133333
3,0.635091145,0.999524531,17.08866667
4,0.676739547,0.999950408,17.26733333
5,0.705723643,0.999960345,17.44766667
6,0.724299831,0.999873385,17.57966667
7,0.734428611,0.999877035,17.63266667
8,0.75505399,0.999877035,17.63466667
9,0.755105457,0.999931289,17.73133333
10,0.758422054,0.999931289,17.747
11,0.764969434,0.999873226,17.76566667
12,0.761189773,0.999873217,17.82066667
13,0.763015624,0.999873124,17.74666667
14,0.762527419,0.999945957,17.77166667
15,0.766443673,0.999875396,17.83466667
16,0.766598441,0.99987493,17.928
17,0.769442585,0.99987493,17.863
18,0.774758422,0.99999647,17.869
19,0.77760068,0.999884457,17.84966667
20,0.769489746,0.999942762,17.77966667
21,0.773517486,0.999957737,17.807
22,0.789443531,0.999995502,17.90633333
23,0.777549696,0.999976373,17.892
24,0.786385861,0.999976373,17.947
25,0.781202469,0.999998054,17.93766667
26,0.784575522,0.99996977,17.919
27,0.776458693,0.999969034,17.83966667
28,0.786571289,0.999991292,17.85133333
29,0.77597545,0.999969034,17.84366667
30,0.778127801,0.999969909,17.90166667
31,0.78035614,0.999969909,17.87666667
32,0.780391921,0.9999699,17.89866667
33,0.784788947,0.999936001,17.94233333
34,0.776982874,0.999936001,17.982
35,0.782937761,0.999975758,17.993
36,0.780578794,0.999981728,17.95533333
37,0.780818241,0.999981728,17.95166667
38,0.777321823,0.999982026,17.94733333
39,0.77708441,0.999982072,17.96766667
40,0.783439979,0.999913698,18.00166667
41,0.781868183,0.999997355,18.02366667
42,0.779305037,0.999989886,17.97633333
43,0.785324268,0.999974203,17.94866667
44,0.782663889,0.999972927,17.859
45,0.776996043,0.999972927,17.82633333
46,0.786528095,0.999976438,17.859
47,0.783021248,0.999976438,17.877
48,0.781324317,0.999956573,17.89266667
49,0.781307869,0.999981709,17.808
50,0.781373114,0.999954822,17.90566667
51,0.794578552,0.999960326,17.997
52,0.792521743,0.999961639,18.003
53,0.778372086,0.999846529,18.04433333
54,0.778859003,0.999788945,18.018
55,0.782575242,0.999946823,18.08633333
56,0.782902588,0.999946823,17.957
57,0.787317609,0.99996245,17.99166667
58,0.772775039,0.999992829,17.885
59,0.765617126,0.999984969,17.853
60,0.783775747,0.999985034,17.89333333
61,0.780501813,0.999963567,17.86066667
62,0.783608371,0.999845141,17.87466667
63,0.783721611,0.999974845,17.81566667
64,0.791169557,0.999999767,17.90933333
65,0.782086001,0.999999767,17.91933333
66,0.783687723,0.999975115,17.898
67,0.770815841,0.999979297,17.905
68,0.770462778,0.999835401,17.91566667
69,0.769774356,0.999834805,17.858
70,0.775470273,0.999993006,17.84266667
71,0.774741779,0.999993863,17.81633333
72,0.769371735,0.999993863,17.85333333
73,0.785327689,0.999993872,17.959
74,0.779803832,0.999988144,17.912
75,0.777648531,0.999909442,17.86666667
76,0.783222514,0.999909442,17.86266667
77,0.779338129,0.999909665,17.86466667
78,0.785183923,0.999909442,17.891
79,0.787539146,0.999988675,17.835
80,0.769511515,0.999988694,17.88033333
81,0.769190311,0.999911435,17.83266667
82,0.774398467,0.999882622,17.80533333
83,0.780448257,0.999867574,17.88
84,0.778426656,0.999962198,17.906
85,0.771759065,0.999990631,17.92866667
86,0.776947912,0.999993015,17.906
87,0.781865246,0.999993024,17.91766667
88,0.786686211,0.99997099,17.94833333
89,0.785467555,0.999998696,17.996
90,0.789185939,0.999993015,18.00233333
91,0.786944379,0.999993015,18.04666667
92,0.789518461,0.999993015,18.033
93,0.785966857,0.999977667,17.99166667
94,0.781347657,0.999824152,18.02366667
95,0.781601284,0.999919676,18.01266667
96,0.787534167,0.999974864,18.06433333
97,0.784920824,0.999901899,18.053
98,0.78502379,0.999995846,18.122
99,0.783507691,0.999995846,18.07466667
