"Epoch","Error X","Error Y","Global Best X","Global Best Y"
1,16474.50050543101,16890.455584439642,-46.94963413893445,-42.24999937186526
2,20996.328096722264,16179.410433758228,-46.86748372249785,-41.75679423292276
3,20421.600150127997,15581.205024120023,-46.86748372249785,-41.75679423292276
4,19900.17133326374,15177.518880335789,-46.86748372249785,-41.75679423292276
5,19385.418187655447,14779.671307787228,-46.86748372249785,-41.75679423292276
6,18872.76045593668,14386.85644020218,-46.86748372249785,-41.75679423292276
7,18375.686609566437,14007.102819638041,-46.87470124088618,-41.800125932431335
8,17886.60137323165,13651.930679317367,-46.880555041450485,-41.83527030108939
9,17400.38459505239,13292.069458566155,-46.88348194173264,-41.852842485418414
10,16919.732403171547,12930.658269776077,-46.88348194173264,-41.852842485418414
11,16446.851310372447,12573.929907183183,-46.88348194173264,-41.852842485418414
12,15980.746844460904,12217.381302327407,-46.88348194173264,-41.852842485418414
13,15522.305932002006,11866.982869332009,-46.88348194173264,-41.852842485418414
14,15071.440980983107,11521.852710749106,-46.88317423408709,-41.850995105956954
15,14642.488665479928,11194.299923722294,-46.88317423408709,-41.850995105956954
16,14207.773414891051,10861.6297437153,-46.88317423408709,-41.850995105956954
17,13783.813387679867,10536.43737753512,-46.88310922796588,-41.85060482974855
18,13364.313188775368,10214.859046674386,-46.88310922796588,-41.85060482974855
19,12958.022782473694,9914.206077929739,-46.883142216957175,-41.85080288522703
20,12559.39531729255,9604.271511750112,-46.883138474128614,-41.850780414467145
21,12162.528763781296,9300.616851999974,-46.88313660271433,-41.8507691790872
22,11774.158549377282,9004.34416108654,-46.88313566700719,-41.85076356139723
23,11393.627694256187,8711.122458777254,-46.88313519915362,-41.85076075255225
24,11033.934025559642,8429.189401262738,-46.88313496522684,-41.850759348129756
25,10681.90750771794,8151.937984135091,-46.883134848263445,-41.85075864591851
26,10336.03558323396,7887.034856026328,-46.88313478978175,-41.850758294812884
27,9983.978362967078,7622.138334545674,-46.8831347605409,-41.85075811926007
28,9649.472527692365,7380.414009640082,-46.88313474592047,-41.850758031483664
29,9328.47786929077,7126.610361528416,-46.88313473861026,-41.850757987595465
30,9019.021837240482,6872.786203321383,-46.883134734955156,-41.85075796565136
31,8710.056262402692,6626.646127413496,-46.883134733127605,-41.85075795467931
32,8398.890928719895,6391.053976520783,-46.883134732213826,-41.85075794919329
33,8091.479503377131,6171.764498990441,-46.88313473175694,-41.85075794645027
34,7788.6779658363985,5939.781419037367,-46.88313473152849,-41.85075794507877
35,7493.149295797898,5712.509287382778,-46.88313453763849,-41.850752101717376
36,7215.308859678841,5499.714304211729,-46.883134467824725,-41.85075000174168
37,6946.76587658154,5290.4311960443665,-46.882877182500565,-41.85104087259907
38,6699.6607333022275,5091.723756837053,-46.882735286926966,-41.85105803383356
39,6455.067122523715,4891.045454395823,-46.882609590401614,-41.85112920021445
40,6200.621873957024,4699.633614725967,-46.88254674213894,-41.8511647834049
41,5954.842984641224,4517.821811129216,-46.88250974903493,-41.851183332145254
42,5721.087476948846,4326.355090087567,-46.882479629008415,-41.85122183370151
43,5489.819702209872,4140.577193402291,-46.88245135301577,-41.85124964091491
44,5261.7845908418185,3964.587393503757,-46.88233539035578,-41.851321094126206
45,5042.307188454623,3789.316637693327,-46.88219011996888,-41.85140216120741
46,4820.437341552755,3627.2110003176545,-46.88227914758177,-41.85140273452983
47,4628.223858725322,3476.1571317889466,-46.88220055059078,-41.851452064157684
48,4418.755262854851,3314.9137542962067,-46.882204806554654,-41.851500368383164
49,4230.408819745144,3160.401349591911,-46.88225118238654,-41.85157651891254
50,4051.173177058438,3031.3487547088225,-46.88216916093379,-41.85166566445426
51,3872.426869821231,2885.756083839075,-46.88209161491576,-41.85179421617256
52,3691.209291487911,2743.4664276498875,-46.88202563972917,-41.85186152050025
53,3522.2026274248287,2615.883019381776,-46.881908596970185,-41.85192424778825
54,3347.005647269996,2505.5161684487844,-46.88180713115823,-41.852049705115164
55,3190.1380852729408,2391.0968989616154,-46.881680770907366,-41.85222977913137
56,3038.967886004786,2270.734403730909,-46.881532388592255,-41.852490722865724
57,2879.5526087260973,2150.9607745906665,-46.88126887759685,-41.85279897163475
58,2760.4760265960213,2051.618436630428,-46.881088380216134,-41.85296123636973
59,2611.623270390833,1941.547671624806,-46.88092309361854,-41.853126849711536
60,2487.0531421177025,1859.6640796462443,-46.880551213700436,-41.85385378234806
61,2348.9186914669713,1757.6938245150739,-46.88006095351151,-41.854502512664595
62,2238.1269249496086,1681.7503238372792,-46.8790621587101,-41.85555761720426
63,2129.136683369422,1597.8430783945935,-46.8784624979203,-41.856067201747
64,2013.2523332470066,1517.7910297559058,-46.877274544839494,-41.857082189516305
65,1899.2772889413818,1444.28055493468,-46.87566031556491,-41.85874379245559
66,1797.4179841805094,1363.5181352494512,-46.873715708699805,-41.86081166126613
67,1697.7063241948115,1298.213995267637,-46.87172917610228,-41.8630149736444
68,1590.3163338486484,1220.7903309521282,-46.86774459691079,-41.86723537412359
69,1499.9465208640534,1149.6155846011882,-46.86298531884332,-41.87321764984548
70,1425.161020031261,1093.1869204298814,-46.85921316534372,-41.87776146262456
71,1343.687840923129,1041.3784957280955,-46.85148668553651,-41.886792359033855
72,1269.0774069231156,994.0498980653068,-46.842440284811225,-41.89733930600739
73,1211.3507688697766,934.9936096387748,-46.8314795242745,-41.90974994631117
74,1130.6114081059682,876.4264193578416,-46.807945717799065,-41.937094039332784
75,1060.8773481527942,826.7043220950942,-46.763669876810255,-41.98746892312154
76,1010.4005566271497,783.5952751148943,-46.728355394831596,-42.027031411350514
77,935.7970430259377,738.1875935184925,-46.631419133623744,-42.133827737081845
78,870.0509918178692,698.6217832747543,-46.51210591475826,-42.26603715232757
79,808.9812609054397,681.5402376246745,-46.29612079016019,-42.505619598320095
80,735.8914929583193,657.6294879493456,-45.94673622785054,-42.89469798337585
81,668.6984114591838,633.7213711741124,-45.85462481127838,-42.98657291751006
82,603.9461698792538,603.3923180027693,-45.60306996074525,-43.25930793867133
83,551.6514270957265,576.8823927288341,-45.47667925955701,-43.38982712394501
84,494.4110173243345,562.5560795863465,-45.04906196343698,-43.83310385851811
85,453.5481809302424,525.7855165538255,-44.97403782738457,-43.911724977963594
86,423.35526610116966,490.2957781407195,-44.97896274953343,-43.90549694989804
87,395.3327277176104,451.4297175968696,-44.9663381055191,-43.918633654504625
88,360.4851776215974,411.3382233818908,-44.9663381055191,-43.918633654504625
89,336.37108157404816,373.10107616591205,-44.99041527699757,-43.8942481163363
90,305.4841100094143,342.3350005418593,-44.97967028732572,-43.90526667389058
91,279.52247260646965,314.86811973671126,-44.97967028732572,-43.90526667389058
92,263.726471030282,290.8037227797688,-44.97897316512925,-43.90597534712197
93,242.95577973728382,266.58051111495536,-44.9769568952366,-43.90799902584951
94,224.98838692848338,248.0659668399828,-44.9769568952366,-43.90799902584951
95,203.7374433638508,223.5681470634124,-44.9769568952366,-43.90799902584951
96,186.97832631414596,203.0964065093059,-44.97763898284977,-43.90730233862921
97,170.3580059783352,187.91111560844826,-44.97752224215729,-43.907452642999075
98,155.48286995174277,168.12547969581613,-44.97835096469404,-43.9065897665951
99,153.57636597059505,165.04740478212403,-44.97835096469404,-43.9065897665951
100,137.44101953200757,147.4285690849776,-44.97760227538456,-43.907358132433025
101,130.44863659006316,133.33690333461197,-44.97760227538456,-43.907358132433025
102,126.538974243371,125.81687113810571,-44.97783439900087,-43.90712231914175
103,126.8060885491715,122.577275498547,-44.97783439900087,-43.90712231914175
104,118.96100850785386,117.37880967690263,-44.9779250138157,-43.90702785241191
105,108.82351897153585,106.09223866647125,-44.9779250138157,-43.90702785241191
106,101.96121332853453,100.78251282035207,-44.97783271895254,-43.907122505840164
107,100.52241640437593,96.76738993398487,-44.97788275943405,-43.907071443237626
108,93.31025223312342,88.55097736259961,-44.97788188188714,-43.907071927538034
109,86.8953555528422,79.2152071825704,-44.97788188188714,-43.907071927538034
110,83.51021194595842,75.44468499363873,-44.97786522573084,-43.90708907704686
111,78.25204591551852,68.95592201889819,-44.977867391016666,-43.907086901372175
112,69.77810677292733,62.7027081657155,-44.977867391016666,-43.907086901372175
113,64.38603131864222,55.844858707445496,-44.97787119903067,-43.90708296687064
114,60.42631174979174,52.221943729462204,-44.97787119903067,-43.90708296687064
115,53.60677908117271,47.617566640625924,-44.97787119903067,-43.90708296687064
116,49.48713500038808,43.286612592518644,-44.97787108772389,-43.907083082699444
117,43.92630921529727,40.51823789753389,-44.97787108772389,-43.907083082699444
118,36.90650657323244,37.62870895683345,-44.97787108772389,-43.907083082699444
119,32.12504516009266,32.03202451271052,-44.977870834692744,-43.90708334122932
120,28.138894902038842,27.030851817933733,-44.977870834692744,-43.90708334122932
121,24.998904431819593,22.596657148688433,-44.977870834692744,-43.90708334122932
122,22.743806953334335,18.574196654246112,-44.977870834692744,-43.90708334122932
123,21.534959352494944,17.434114079779597,-44.977870834692744,-43.90708334122932
124,17.576259277073355,14.038283415113275,-44.977870834692744,-43.90708334122932
125,14.240765196923782,11.093252396955474,-44.977870834692744,-43.90708334122932
126,14.200129200646751,8.75991515468721,-44.977870834692744,-43.90708334122932
127,14.878392377672812,7.963387883579526,-44.977870834692744,-43.90708334122932
128,16.83440854058034,7.875834140159457,-44.977870834692744,-43.90708334122932
129,13.923160414630253,7.026855168748916,-44.977870834692744,-43.90708334122932
130,11.364988409733419,5.297605353445989,-44.977870834692744,-43.90708334122932
131,11.980671220570501,5.090515978184642,-44.977870834692744,-43.90708334122932
132,10.364318160761561,4.821381960570411,-44.977870834692744,-43.90708334122932
133,9.648719038205165,6.276015573340253,-44.977870834692744,-43.90708334122932
134,7.70586086245626,4.787740105532752,-44.977870834692744,-43.90708334122932
135,7.272738498872063,5.3065409494490465,-44.977870834692744,-43.90708334122932
136,7.553439533426573,5.266371916410697,-44.977870834692744,-43.90708334122932
137,9.42817116135761,6.571752688163924,-44.977870834692744,-43.90708334122932
138,9.77785271525459,5.139468030455674,-44.977870834692744,-43.90708334122932
139,11.938244521997078,6.5712297145427065,-44.977870834692744,-43.90708334122932
140,14.316671017404888,8.210071419236431,-44.977870834692744,-43.90708334122932
141,15.224563409647166,10.055685804884032,-44.977870834692744,-43.90708334122932
142,12.786522038713107,8.968095781374446,-44.977870834692744,-43.90708334122932
143,13.33422785885504,7.218106483262563,-44.977870834692744,-43.90708334122932
144,14.114084694673044,6.870256675148607,-44.977870834692744,-43.90708334122932
145,12.154827066374922,6.501394509270445,-44.977870834692744,-43.90708334122932
146,9.978995536330281,6.027627126536133,-44.977870834692744,-43.90708334122932
147,9.367247016044876,5.796073935206249,-44.977870834692744,-43.90708334122932
148,11.488855525649235,7.3889485385202365,-44.977870834692744,-43.90708334122932
149,9.367268182971692,5.796052651568515,-44.977870834692744,-43.90708334122932
150,9.97177622998855,5.436788853560702,-44.977870834692744,-43.90708334122932
151,11.100566278533844,4.484664967790092,-44.977870834692744,-43.90708334122932
152,9.043287147279162,4.748734648149382,-44.977870834692744,-43.90708334122932
153,10.278676784787129,6.24727722529777,-44.977870834692744,-43.90708334122932
154,9.582988175986078,7.104466592284172,-44.977870834692744,-43.90708334122932
155,7.6765885289246665,7.613616994729225,-44.977870834692744,-43.90708334122932
156,9.582981966086123,7.104472806377479,-44.977870834692744,-43.90708334122932
157,9.088044917083085,6.802016787289104,-44.977870834692744,-43.90708334122932
158,9.560576800871777,5.276429138511106,-44.977870834692744,-43.90708334122932
159,9.686905076269865,3.957590470218275,-44.977870834692744,-43.90708334122932
