"Epoch","Error X","Error Y","Error Z","Error W","Global Best X","Global Best Y","Global Best Z","Global Best W"
1,6639.7074455151405,4771.937870524126,7703.026685272368,7484.914880311755,15.829916208092854,-5.519825521252048,16.69002982044764,-19.329348237165974
2,6719.728270834073,4602.988795815038,7437.87509983859,7692.150532169619,15.386872409900338,-5.365338003305159,16.22291337419525,-19.102086218072824
3,6457.923963252799,4443.894333960933,7139.852884436888,7426.138057663444,15.076741751165578,-5.257196740742337,15.895931861818577,-18.943002804707618
4,6216.924090433786,4288.125929206815,6875.086257610396,7175.8136167768125,14.859650290051245,-5.181497856948361,15.667044803154905,-18.831644415351974
5,5992.0671362983,4137.03715956859,6630.7432120443045,6938.392524184874,14.707686267271212,-5.128508638292579,15.506823862090334,-18.753693542803024
6,5779.458314632758,3988.1406892575487,6402.473386860122,6711.74251486568,14.60131145132519,-5.091416185233531,15.394669203345135,-18.699127932018758
7,5573.874698128342,3843.8466970723343,6185.478546950499,6495.756986695331,14.526849080162973,-5.065451468092197,15.316160942223496,-18.66093200446977
8,5378.245347156397,3702.940383058429,5977.137189825467,6281.848657735241,14.474725420349422,-5.047276166093264,15.261205159438347,-18.63419485518548
9,5187.1509140012195,3566.3937327399735,5777.176180505352,6074.8236065794445,14.438238858479936,-5.03455345469401,15.222736111488745,-18.61547885068648
10,5001.570126542578,3431.9615657346562,5581.8220436891,5873.013198000744,14.412698265171295,-5.0256475567145324,15.195807777924022,-18.60237764753718
11,4820.103261885019,3299.202283146895,5392.835037385385,5678.087913960058,14.394819849855248,-5.019413428128899,15.176957944428716,-18.593206805332667
12,4644.600747074099,3171.6193302681127,5207.599868312648,5483.430507099771,14.382304959134014,-5.015049538118955,15.163763060982003,-18.58678721578951
13,4472.514354660397,3045.714776478013,5027.6886027346245,5296.343729368024,14.37354453562915,-5.011994815111994,15.154526642569303,-18.582293503109298
14,4304.562550799633,2923.319687225322,4851.1725795871735,5113.213615893236,14.367412239175746,-5.009856509007122,15.148061149680414,-18.57914790423315
15,4142.3241028296225,2804.189832349643,4677.112694246209,4932.756189900186,14.363119631658362,-5.008359694733711,15.143535304658192,-18.576945985019847
16,3982.4507986433164,2687.174108162074,4509.122035955429,4756.677937216161,14.360114806396194,-5.007311924742323,15.140367213142635,-18.575404641570536
17,3869.227834833898,2702.375598928508,4300.962382949039,3948.480793314786,14.415167483728554,-4.6554983092892295,14.596283306258524,-17.815688191195736
18,3717.756087094262,2565.862728608649,4045.5375290106026,3708.4218179301774,14.470747411304988,-4.303677764536071,14.052445674073109,-17.055837017768233
19,3570.215364147715,2435.2172986893556,3801.0050295440174,3481.9505755415576,14.526341404960839,-3.951857036637556,13.508614614834231,-16.29598225381826
20,3425.184780541569,2309.4972719327243,3568.0896839690326,3269.3171613083796,14.581937453490207,-3.600036281991322,12.964784515830525,-15.536126965354928
21,3283.410117572417,2187.958182444224,3346.0961293198666,3070.9843422791605,14.637533597357034,-3.2482155261041528,12.420954461377752,-14.776271652556488
22,3145.677325009927,2072.0441345904305,3134.08290276269,2885.0447011761444,14.693129747595583,-2.896394770134048,11.877124409902468,-14.016416338131652
23,3010.230432929804,1961.0282173413475,2933.2106218587683,2711.209629755886,14.748725898108805,-2.544574014160368,11.333294358555538,-13.256561023636705
24,2880.032210273218,1853.8458353660528,2741.6337384997582,2550.1666363237996,14.804322048639111,-2.1927532581864653,10.78946430721659,-12.496705709137396
25,2736.580224749015,1703.5070831347568,2571.023820775679,2634.091187192403,14.843239354010326,-1.9464787290047336,10.408783271279328,-11.964806988987881
26,2626.2777500568286,1656.9530543556039,2405.1796592947276,2271.160496453543,14.898835504547277,-1.5946579730307446,9.864953219943487,-11.204951674486876
27,2505.272186538878,1563.4580112625088,2241.860386269488,2142.91531992236,14.954431655085004,-1.2428372170567457,9.32112316860801,-10.445096359985675
28,2389.4384206743125,1474.4918203283314,2089.3581070048476,2025.1404238570115,15.010027805622814,-0.8910164610827456,8.777293117272569,-9.685241045484451
29,2276.2905520557483,1390.1156948577589,1944.9086198477908,1916.4685077184288,15.065623956160636,-0.5391957051087453,8.233463065937135,-8.925385730983225
30,2165.520991244757,1310.3613718977033,1809.4688464433582,1817.2582969152115,15.121220106698463,-0.18737494913474478,7.689633014601704,-8.165530416481996
31,2055.877395677699,1230.7463872622384,1702.697960463413,1729.063101287411,15.136171835830597,-0.09275817089564736,7.5433782911573495,-7.961179022867018
32,2235.0279016574905,1377.7667107130853,1610.8514277126742,1660.3043747915544,15.796729334912424,0.8323934437040532,6.893454205651883,-7.578853213783121
33,2160.943297819205,1300.1638542663532,1504.4059793872038,1562.9265888170812,16.43117301133945,1.5363298163548738,6.59888858968248,-7.702084308031001
34,2091.004789552949,1231.8044277216034,1404.3330789488627,1473.7323590546207,17.066129500779603,2.2399349188480433,6.30569222423387,-7.827806253415003
35,2027.9872457742363,1170.54132599004,1308.9381014173312,1388.2212828404927,17.701534876859288,2.9432422070766115,6.013708418148751,-7.955729368439837
36,1970.38200414441,1116.2320334445965,1218.1207068504157,1307.9326520549132,18.33700173759033,3.646508121203324,5.721891737287189,-8.083955526890808
37,1918.6120853162795,1068.6977004956516,1131.9392240631178,1231.7264796984507,18.972476109850625,4.3497689709723515,5.430095491326989,-8.212218733719837
38,1818.4926810102124,1022.8115087796916,1043.1069308976862,1158.4871651391713,19.314013389608135,4.9902504954105185,5.247132990026289,-8.3268027521513
39,1684.765200346498,1000.4533700767353,977.76916027257,1090.2825775065362,18.94110217471825,5.904169350428013,5.286290610289691,-8.482225507976079
40,1602.8312490479368,868.3094824447055,1096.6331182324889,1175.5618625052807,19.2408230814531,4.257222926447577,9.1762659899551,-12.710071606234045
41,1511.4805543318682,797.674842204796,994.738566876743,1096.9555989024975,19.202125839961877,4.610365302934122,8.530463528535895,-12.03425198070124
42,1428.6245598329524,750.0494806651035,892.8341694958243,1015.3194962671696,19.214573861467535,4.916462543141874,7.870853636727594,-11.347910726712794
43,1352.6467611851542,706.3470055348741,801.1924246489642,942.4396143581376,19.288221419449695,5.274380842899515,7.150173434936061,-10.626262685484695
44,1268.423910807483,677.2051559590896,757.569989048294,905.1050526252416,19.3113892941879,5.828482986587225,7.756359926958294,-11.737096334129328
45,1204.7252372834973,661.1877471935459,702.5993835779659,884.3767722403668,19.36710803384763,6.610281410983512,7.337235576303459,-11.343674219857167
46,1146.526946000472,650.8360717751699,657.89368867526,829.0727560969093,19.655664247097125,6.928428837945162,7.530192629187248,-11.691093949793878
47,1099.304008481972,606.2363867048313,616.2372079288153,785.062439176315,19.655664247097125,6.928428837945162,7.530192629187248,-11.691093949793878
48,1057.0190581639981,561.2378292265917,570.2098826446779,748.7089722644005,19.985617218216273,7.243926570321312,7.353445936489414,-12.083040754988893
49,999.4685516654839,536.3902805223601,525.6479847596692,710.4350904285324,19.985617218216273,7.243926570321312,7.353445936489414,-12.083040754988893
50,946.2457373330561,487.05612928162896,476.51331116980447,665.0509351555687,20.17670581345689,6.961574177877704,7.029331747654298,-12.110325566107543
51,895.8208556354637,445.3563845005615,440.5714692835111,620.4332759361281,20.17670581345689,6.961574177877704,7.029331747654298,-12.110325566107543
52,837.0071759083517,411.5844908321079,408.1513727536885,578.0666875687384,20.127046021561565,6.91563154958566,7.067405231099264,-12.086701311460786
53,778.2250222992758,380.1716990821354,377.15545243305,534.0579706418234,19.95119306979965,6.934522742560472,7.050909885017505,-11.849014238652561
54,722.236974625113,350.0068735061712,346.2456734192365,491.54309422237134,20.057057696483387,6.855924656403734,7.024096831193623,-12.00124138316288
55,675.8673993873851,323.92322169852747,317.6903148407872,459.0100677853832,20.071273804399947,6.990810537207994,6.994639687901993,-11.982999550557322
56,632.9744568101247,302.31467179790957,291.51790947214346,424.6798250790044,20.071273804399947,6.990810537207994,6.994639687901993,-11.982999550557322
57,587.9721273581551,279.0284557330867,267.4741226339605,391.85704078591016,20.054539562411605,6.992726107190453,6.992564785877576,-11.969008388819502
58,546.4936161885008,257.33223687877387,245.38980442222757,361.37184063963565,20.054539562411605,6.992726107190453,6.992564785877576,-11.969008388819502
59,507.13793978375566,236.2549895704244,224.67262504022332,333.0619705501621,20.04169609248101,6.970411125874015,6.986999915190932,-11.970381282194326
60,468.802865849475,217.17712966684192,205.71954881065372,306.0169577710205,20.046145231103477,7.0212099941757575,7.000600356142632,-11.967871776504394
